semilla	EV1	EV2	EV3	EV4	EV5	EV7	EV12	EV13
912523	62142607.2	59416017.99	60904620.69	59918728.64	57605668.67	60021728.64	57986278.86	61507166.42
386641	62410191.9	59760185.91	60636782.61	60107596.7	57491242.88	59923439.28	57372116.94	61662772.11
251737	61868595.2	59817371.81	60637295.35	59560833.58	57124658.17	61038794.6	58288157.42	60136003
914533	61729568.22	60212061.47	60736941.53	60292583.21	58103887.56	59523806.6	58841820.09	60522938.53
630523	61854185.91	59440737.63	61077980.51	60668452.77	56791223.39	59670122.94	58813575.71	61563905.55
402239	62042739.13	59972239.88	60948044.98	59587238.38	57306916.04	60582763.12	57063766.12	61213790.1
651913	61885235.38	60308662.67	60787386.81	62646050.97	57282983.51	60584413.79	58615034.48	60828947.53
552833	61893535.23	59777716.64	61237776.61	59743958.02	57566866.57	59972416.79	58394212.89	61869259.37
583937	63484457.27	59097935.53	61438263.87	59522916.04	56561953.52	60689835.08	58279527.74	61939068.97
116747	62002368.82	59232316.34	60370727.14	59598184.41	57656251.87	60624338.83	57948842.58	60763971.51
