Fecha;Compra;Venta
29/09/2021;183.00;187.00
28/09/2021;183.00;187.00
27/09/2021;182.50;186.50
24/09/2021;182.00;186.00
23/09/2021;181.00;185.00
22/09/2021;181.00;185.00
21/09/2021;180.00;184.00
20/09/2021;180.00;184.00
17/09/2021;181.00;185.00
16/09/2021;182.00;186.00
15/09/2021;181.00;185.00
14/09/2021;178.50;182.50
13/09/2021;177.00;181.00
10/09/2021;181.00;185.00
09/09/2021;182.50;186.50
08/09/2021;183.00;187.00
07/09/2021;179.50;183.50
06/09/2021;178.00;182.00
03/09/2021;177.00;182.00
02/09/2021;176.00;181.00
01/09/2021;175.50;180.50
31/08/2021;176.50;181.50
31/08/2021;176.50;181.50
31/08/2021;176.50;181.50
31/08/2021;176.50;181.50
31/08/2021;176.50;181.50
31/08/2021;177.00;182.00
31/08/2021;177.00;182.00
30/08/2021;177.00;182.00
27/08/2021;177.00;182.00
26/08/2021;176.50;181.50
25/08/2021;176.50;181.50
24/08/2021;177.00;182.00
23/08/2021;177.00;182.00
20/08/2021;177.00;182.00
19/08/2021;176.50;181.50
18/08/2021;177.00;182.00
17/08/2021;178.00;183.00
13/08/2021;177.00;182.00
12/08/2021;173.50;178.50
11/08/2021;173.00;178.00
10/08/2021;173.00;178.00
09/08/2021;174.00;179.00
06/08/2021;173.50;178.50
05/08/2021;174.50;179.50
05/08/2021;175.50;180.50
05/08/2021;175.50;180.50
04/08/2021;175.50;180.50
03/08/2021;175.50;180.50
03/08/2021;175.50;180.50
02/08/2021;175.50;180.50
02/08/2021;175.50;180.50
02/08/2021;175.50;180.50
02/08/2021;175.50;180.50
30/07/2021;175.50;180.50
29/07/2021;175.00;180.00
28/07/2021;175.00;180.00
27/07/2021;178.00;183.00
26/07/2021;179.00;184.00
26/07/2021;180.00;185.00
23/07/2021;180.00;185.00
23/07/2021;179.50;184.50
22/07/2021;179.50;184.50
21/07/2021;177.50;182.50
20/07/2021;177.00;182.00
19/07/2021;175.00;180.00
16/07/2021;174.00;179.00
15/07/2021;173.00;178.00
14/07/2021;172.00;177.00
13/07/2021;171.00;176.00
12/07/2021;172.00;177.00
08/07/2021;169.00;174.00
07/07/2021;167.00;172.00
06/07/2021;166.00;171.00
05/07/2021;166.00;171.00
02/07/2021;165.00;170.00
01/07/2021;164.00;169.00
30/06/2021;163.00;168.00
29/06/2021;165.00;170.00
28/06/2021;168.00;173.00
25/06/2021;169.00;174.00
24/06/2021;165.00;170.00
23/06/2021;161.00;166.00
22/06/2021;160.00;165.00
18/06/2021;159.00;164.00
17/06/2021;158.00;163.00
16/06/2021;158.00;163.00
15/06/2021;155.00;160.00
14/06/2021;153.00;158.00
11/06/2021;153.00;158.00
10/06/2021;152.00;157.00
09/06/2021;151.00;156.00
08/06/2021;151.00;156.00
07/06/2021;152.00;157.00
04/06/2021;152.00;157.00
03/06/2021;151.00;156.00
02/06/2021;151.00;156.00
01/06/2021;150.00;155.00
31/05/2021;152.00;157.00
28/05/2021;152.00;157.00
27/05/2021;152.00;157.00
26/05/2021;150.00;155.00
24/05/2021;148.00;153.00
21/05/2021;148.00;153.00
20/05/2021;149.00;155.00
19/05/2021;150.00;156.00
18/05/2021;151.00;156.00
17/05/2021;148.00;153.00
14/05/2021;148.00;153.00
13/05/2021;146.00;151.00
12/05/2021;147.00;152.00
11/05/2021;146.00;151.00
10/05/2021;147.00;152.00
07/05/2021;145.00;151.00
06/05/2021;145.00;151.00
05/05/2021;146.00;151.00
04/05/2021;149.00;154.00
03/05/2021;148.00;153.00
30/04/2021;145.00;150.00
29/04/2021;149.00;154.00
28/04/2021;157.00;162.00
27/04/2021;156.00;161.00
26/04/2021;153.00;158.00
23/04/2021;147.00;152.00
22/04/2021;142.00;147.00
21/04/2021;139.00;144.00
20/04/2021;138.00;143.00
19/04/2021;138.00;143.00
16/04/2021;137.00;142.00
15/04/2021;138.00;143.00
14/04/2021;138.00;143.00
13/04/2021;137.00;142.00
12/04/2021;137.00;142.00
09/04/2021;135.00;140.00
08/04/2021;135.00;140.00
07/04/2021;134.00;139.00
06/04/2021;135.00;140.00
05/04/2021;135.00;140.00
31/03/2021;136.00;141.00
30/03/2021;136.00;141.00
29/03/2021;137.00;142.00
26/03/2021;137.00;142.00
25/03/2021;138.00;143.00
23/03/2021;138.00;143.00
22/03/2021;138.00;143.00
22/03/2021;138.00;143.00
22/03/2021;139.00;144.00
19/03/2021;139.00;144.00
18/03/2021;139.00;144.00
17/03/2021;139.00;144.00
16/03/2021;139.00;144.00
15/03/2021;141.00;146.00
12/03/2021;137.00;142.00
11/03/2021;135.00;140.00
10/03/2021;138.00;143.00
09/03/2021;139.00;144.00
08/03/2021;139.00;144.00
05/03/2021;139.00;144.00
04/03/2021;139.00;144.00
03/03/2021;140.00;145.00
02/03/2021;140.00;145.00
01/03/2021;142.00;147.00
01/03/2021;141.00;146.00
01/03/2021;141.00;146.00
26/02/2021;141.00;146.00
25/02/2021;138.00;143.00
24/02/2021;140.00;145.00
23/02/2021;141.00;146.00
22/02/2021;142.00;147.00
19/02/2021;142.00;147.00
18/02/2021;148.00;148.00
17/02/2021;144.00;149.00
12/02/2021;145.00;150.00
11/02/2021;144.00;149.00
10/02/2021;146.00;151.00
09/02/2021;147.00;152.00
08/02/2021;146.00;151.00
08/02/2021;146.00;151.00
08/02/2021;146.00;151.00
08/02/2021;146.00;151.00
05/02/2021;146.00;151.00
04/02/2021;145.00;150.00
03/02/2021;148.00;153.00
02/02/2021;148.00;153.00
01/02/2021;148.00;153.00
29/01/2021;148.00;153.00
28/01/2021;149.00;154.00
27/01/2021;149.00;154.00
26/01/2021;151.00;156.00
25/01/2021;151.00;156.00
22/01/2021;151.00;156.00
22/01/2021;151.00;156.00
21/01/2021;151.00;156.00
20/01/2021;151.00;156.00
19/01/2021;152.00;157.00
15/01/2021;153.00;159.00
14/01/2021;153.00;159.00
13/01/2021;154.00;160.00
12/01/2021;153.00;159.00
11/01/2021;153.00;159.00
08/01/2021;155.00;161.00
07/01/2021;156.00;162.00
06/01/2021;154.00;160.00
05/01/2021;154.00;160.00
04/01/2021;159.00;165.00
30/12/2020;160.00;166.00
29/12/2020;159.00;165.00
28/12/2020;158.00;164.00
23/12/2020;153.00;159.00
22/12/2020;146.00;152.00
22/12/2020;145.00;151.00
21/12/2020;144.00;150.00
18/12/2020;144.00;150.00
17/12/2020;143.00;149.00
